=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     MULTIPLIER   Jul 29 06:40:57 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]---------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates         | Nets  | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     224 (224) (0 property flop bits)   0 (0)     26024 (26024)   42654   11      7574        4386            0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[436]   U1079.A1                                  Dangerous
[437]   U1079.A2                                  Dangerous
[438]   U1079.B1                                  Dangerous
[439]   U1079.B2                                  Dangerous
[440]   U1079.ZN                                  Dangerous
[441]   U1079.i_0                                 Dangerous
[442]   U1079.i_1                                 Dangerous
[443]   U1079.i_2                                 Dangerous
[444]   U1080.I                                   Dangerous
[445]   U1080.ZN                                  Dangerous
[446]   U1081.A1                                  Dangerous
[447]   U1081.A2                                  Dangerous
[448]   U1081.Z                                   Dangerous
[449]   U1082.A1                                  Dangerous
[450]   U1082.A2                                  Dangerous
[451]   U1082.B1                                  Dangerous
[452]   U1082.B2                                  Dangerous
[453]   U1082.ZN                                  Dangerous
[454]   U1082.i_0                                 Dangerous
[455]   U1082.i_1                                 Dangerous
[456]   U1082.i_2                                 Dangerous
[457]   U1083.I                                   Dangerous
[458]   U1083.ZN                                  Dangerous
[459]   U1084.A1                                  Dangerous
[460]   U1084.A2                                  Dangerous
[461]   U1084.B1                                  Dangerous
[462]   U1084.B2                                  Dangerous
[463]   U1084.ZN                                  Dangerous
[464]   U1084.i_0                                 Dangerous
[465]   U1084.i_1                                 Dangerous
[466]   U1084.i_2                                 Dangerous
[467]   U1085.I                                   Dangerous
[468]   U1085.ZN                                  Dangerous
[469]   U1086.A1                                  Dangerous
[470]   U1086.A2                                  Dangerous
[471]   U1086.A3                                  Dangerous
[472]   U1086.A4                                  Dangerous
[473]   U1086.ZN                                  Dangerous
[474]   U1086.i_0                                 Dangerous
[475]   U1086.i_1                                 Dangerous
[476]   U1086.i_2                                 Dangerous
[477]   U1087.A1                                  Dangerous
[478]   U1087.A2                                  Dangerous
[479]   U1087.ZN                                  Dangerous
[480]   U1087.i_12                                Dangerous
[481]   U1088.A1                                  Dangerous
[482]   U1088.A2                                  Dangerous
[483]   U1088.ZN                                  Dangerous
[484]   U1088.i_24                                Dangerous
[485]   U1089.A1                                  Dangerous
[486]   U1089.A2                                  Dangerous
[487]   U1089.ZN                                  Dangerous
[488]   U1089.i_24                                Dangerous
[489]   U1090.I                                   Dangerous
[490]   U1090.ZN                                  Dangerous
[491]   U1091.A1                                  Dangerous
[492]   U1091.A2                                  Dangerous
[493]   U1091.A3                                  Dangerous
[494]   U1091.A4                                  Dangerous
[495]   U1091.ZN                                  Dangerous
[496]   U1091.i_0                                 Dangerous
[497]   U1091.i_1                                 Dangerous
[498]   U1091.i_2                                 Dangerous
[499]   U1092.A1                                  Dangerous
[500]   U1092.A2                                  Dangerous
[501]   U1092.B                                   Dangerous
[502]   U1092.ZN                                  Dangerous
[503]   U1092.i_18                                Dangerous
[504]   U1092.i_19                                Dangerous
[505]   U1093.I                                   Dangerous
[506]   U1093.ZN                                  Dangerous
[507]   U1094.A1                                  Dangerous
[508]   U1094.A2                                  Dangerous
[509]   U1094.B                                   Dangerous
[510]   U1094.ZN                                  Dangerous
[511]   U1094.i_18                                Dangerous
[512]   U1094.i_19                                Dangerous
[513]   U1095.A1                                  Dangerous
[514]   U1095.A2                                  Dangerous
[515]   U1095.B                                   Dangerous
[516]   U1095.ZN                                  Dangerous
[517]   U1095.i_18                                Dangerous
[518]   U1095.i_19                                Dangerous
[519]   U1096.A1                                  Dangerous
[520]   U1096.A2                                  Dangerous
[521]   U1096.ZN                                  Dangerous
[522]   U1096.i_24                                Dangerous
[523]   U1097.A1                                  Dangerous
[524]   U1097.A2                                  Dangerous
[525]   U1097.ZN                                  Dangerous
[526]   U1097.i_18                                Dangerous
[527]   U1097.i_19                                Dangerous
[528]   U1097.i_20                                Dangerous
[529]   U1097.i_21                                Dangerous
[530]   U1097.i_22                                Dangerous
[531]   U1098.A1                                  Dangerous
[532]   U1098.A2                                  Dangerous
[533]   U1098.ZN                                  Dangerous
[534]   U1098.i_24                                Dangerous
[535]   U1099.A1                                  Dangerous
[536]   U1099.A2                                  Dangerous
